program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,5788,3848,3968,3110,8529,3826,5377,3090,20259,13312,11914,8961,14577,8766,8963,6360
CH2_cmplt_JW,14,40128,21072,25087,19749,5111,3600,3490,2827,8042,3588,4821,2819,18625,11587,11223,8401,14529,8647,8878,6411
CH2_frz_BK,12,24136,10228,13438,10174,3210,2110,2214,1721,4691,2096,2984,1709,10089,6364,6208,4614,7843,4569,4881,3423
CH2_frz_JW,12,20892,10344,12701,9706,2676,1824,1846,1470,4184,1806,2557,1457,9060,5313,5648,4121,7228,4162,4600,3295
H2O_cmplt_BK,14,31012,13108,16893,12976,4066,2712,2823,2230,5969,2685,3828,2209,13341,8417,7802,5794,10078,6074,6117,4367
H2O_cmplt_JW,14,27120,14360,17205,13576,3395,2366,2358,1896,5293,2357,3250,1890,12034,7396,7362,5469,9450,5596,5891,4249
H2O_frz_BK,12,19104,8004,10371,7934,2053,1290,1413,1076,2959,1266,1842,1053,5896,3475,3742,2682,4690,2684,3089,2162
H2O_frz_JW,12,16192,8064,9941,7613,2103,1437,1509,1203,3280,1425,2087,1191,7040,4148,4455,3275,5654,3240,3756,2669
LiH_cmplt_BK,12,20100,8680,11289,8637,2079,1306,1411,1085,3004,1280,1892,1062,6046,3599,3817,2735,4744,2668,3063,2116
LiH_cmplt_JW,12,16192,8064,9966,7616,2082,1416,1456,1161,3261,1401,2009,1147,7017,4237,4351,3225,5591,3210,3563,2540
LiH_frz_BK,10,3566,1442,2064,1438,575,368,434,325,838,361,568,318,1596,930,1026,728,1250,685,826,554
LiH_frz_JW,10,3392,1616,2137,1576,504,326,368,290,761,322,496,286,1506,840,969,680,1225,674,809,560
NH_cmplt_BK,12,19104,8004,10371,7934,2053,1290,1413,1076,2959,1266,1842,1053,6038,3573,3773,2682,4687,2674,3005,2121
NH_cmplt_JW,12,16192,8064,9941,7613,2103,1437,1509,1203,3280,1425,2087,1191,7079,4099,4396,3183,5642,3199,3696,2626
NH_frz_BK,10,10110,4178,5605,4160,1475,984,1086,841,2209,978,1478,835,4552,2753,2862,2105,3529,2055,2336,1648
NH_frz_JW,10,8432,3896,4989,3674,1160,775,842,663,1779,767,1152,659,3657,2143,2327,1719,2948,1676,1988,1404
