category,program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,505,282,46,30,613,355,79,67
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,525,150,327,118,397,202,208,157
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,84,24,60,24,50,23,32,21
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,5628,1608,3261,1202,11368,6741,3133,2643
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,315,90,207,78,164,81,92,68
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,564,376,120,80,476,288,136,113
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,13797,3942,8049,2934,51738,30591,9266,8065
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,20706,5916,11699,4268,126023,74078,16845,15106
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,3780,1080,478,188,3532,1979,834,661
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,819,548,286,200,796,513,254,216
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,866,582,278,196,946,662,352,314
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,2246,1558,955,690,2508,1814,845,764
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,79,50,46,30,80,45,42,31
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,537,350,197,139,569,370,190,164
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,608,402,198,139,669,463,256,232
chemistry,BH-JW-10,10,4629,2362,3269,2322,1301,697,631,461
chemistry,Be2-JW-6,6,731,310,485,302,224,114,126,88
chemistry,C2-JW-18,18,49741,29138,36034,28944,14891,8406,5375,4253
chemistry,H2-JW-8,8,2952,1328,1942,1306,726,363,375,263
chemistry,HF-BK12,12,13054,5760,7875,5735,2803,1532,1341,973
chemistry,HF-parity10,10,5525,2502,3406,2494,1230,650,599,431
chemistry,Li2-JW14,14,14555,7622,9917,7524,4041,2213,1754,1338
chemistry,LiH-parity-4,4,208,86,159,86,86,40,63,39
